,album_title,track_number,id,track_title,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
0,Girl Code,1,4Vw3GouohCgu8hgGYdl8m9,Intro (#FREEJT),spotify:track:4Vw3GouohCgu8hgGYdl8m9,0.126,0.664,0.637,0.0,0.37799999999999995,-4.5969999999999995,0.41700000000000004,98.89200000000001,0.0393,34
1,Girl Code,2,0RRm4OS5ymfZryXBuj0G2m,Twerk (feat. Cardi B),spotify:track:0RRm4OS5ymfZryXBuj0G2m,0.121,0.7879999999999999,0.8420000000000001,0.00112,0.166,-4.006,0.142,190.077,0.48100000000000004,70
2,Girl Code,3,3A2yGHWIzmGEIolwonU69h,Act Up,spotify:track:3A2yGHWIzmGEIolwonU69h,0.0167,0.938,0.638,0.0,0.111,-4.713,0.18899999999999997,97.075,0.313,75
3,Girl Code,4,6gqvCJJY8Sh4opRxXVO7A7,Season (feat. Lil Baby),spotify:track:6gqvCJJY8Sh4opRxXVO7A7,0.009640000000000001,0.594,0.695,0.0,0.157,-4.6339999999999995,0.311,138.833,0.408,50
4,Girl Code,5,3E7jehnxsH4xZAuxDQg4zC,Broke Boy,spotify:track:3E7jehnxsH4xZAuxDQg4zC,0.0039700000000000004,0.782,0.69,2.85e-06,0.175,-3.677,0.0682,102.99700000000001,0.317,41
5,Girl Code,6,6hAEJe9OSWNt0dac1ijbsV,Clout Chasin',spotify:track:6hAEJe9OSWNt0dac1ijbsV,0.0034700000000000004,0.789,0.638,0.0,0.11699999999999999,-5.544,0.265,172.06400000000002,0.429,45
6,Girl Code,7,3xLyP5emNmRuzrddcWAa5z,Give It A Try (feat. Jacquees),spotify:track:3xLyP5emNmRuzrddcWAa5z,0.156,0.531,0.754,0.0,0.243,-5.811,0.222,89.103,0.265,40
7,Girl Code,8,11TOnapSFVWBUSByMzf1u1,What We Doin',spotify:track:11TOnapSFVWBUSByMzf1u1,0.18600000000000003,0.9520000000000001,0.606,1.31e-06,0.327,-5.032,0.0814,100.434,0.305,40
8,Girl Code,9,6RApNG1hgOvOQvrVvkvWNh,Drip,spotify:track:6RApNG1hgOvOQvrVvkvWNh,0.191,0.88,0.63,0.0,0.102,-5.419,0.258,151.988,0.38799999999999996,37
9,Girl Code,10,39MJKyP5VPNP3kattTx9iO,Trap Star,spotify:track:39MJKyP5VPNP3kattTx9iO,0.196,0.831,0.708,0.0,0.10800000000000001,-6.744,0.0936,174.986,0.72,36
10,Girl Code,11,5Pv2Mupc12dt63SbqkMEhP,Panties An Bra,spotify:track:5Pv2Mupc12dt63SbqkMEhP,0.012,0.878,0.6609999999999999,0.0,0.109,-7.053,0.327,138.841,0.35600000000000004,35
11,Girl Code,12,3iGeRE1RqZ8OIrvhwf9OC8,On The Low,spotify:track:3iGeRE1RqZ8OIrvhwf9OC8,0.132,0.73,0.532,9.41e-06,0.263,-6.428999999999999,0.11800000000000001,105.00200000000001,0.575,33
12,Girl Code,13,6wEKzk5eRsbymgsEwAPORz,Swerve,spotify:track:6wEKzk5eRsbymgsEwAPORz,0.0698,0.81,0.705,0.0,0.0822,-4.428,0.17300000000000001,145.024,0.295,34
13,PERIOD,1,32TXfodRWjRIiOVgoWCAZI,Tighten Up,spotify:track:32TXfodRWjRIiOVgoWCAZI,0.0005610000000000001,0.721,0.529,0.0,0.0932,-7.8389999999999995,0.42200000000000004,97.15,0.11800000000000001,41
14,PERIOD,2,5aOpKCKguEnViGOKZxZern,Take Yo Man,spotify:track:5aOpKCKguEnViGOKZxZern,0.00143,0.773,0.7879999999999999,0.0,0.584,-2.801,0.0719,98.022,0.605,59
15,PERIOD,3,5z3gOVUk7km3eNJM8M57tv,Sweet Tooth,spotify:track:5z3gOVUk7km3eNJM8M57tv,0.00899,0.934,0.7340000000000001,0.0,0.155,-5.642,0.0634,114.014,0.29,40
16,PERIOD,4,4brjnq8FiPuDdS9STCoePu,One Of Them Nights,spotify:track:4brjnq8FiPuDdS9STCoePu,0.0103,0.703,0.758,0.000517,0.146,-6.0489999999999995,0.0554,77.497,0.337,36
17,PERIOD,5,7pEUMHltEFTgVZ5NpWYiyA,Not Ya Main,spotify:track:7pEUMHltEFTgVZ5NpWYiyA,0.00186,0.7090000000000001,0.736,1.74e-05,0.223,-6.183,0.133,103.075,0.626,38
18,PERIOD,6,7GlZhPkCA259c3ICFU0eaG,Where The Bag At,spotify:track:7GlZhPkCA259c3ICFU0eaG,0.0257,0.723,0.747,0.00018700000000000002,0.359,-4.266,0.162,175.99400000000003,0.42100000000000004,55
19,PERIOD,7,2DYTeceRsxwMwObrIycs6r,Millionaire Dick,spotify:track:2DYTeceRsxwMwObrIycs6r,0.0265,0.899,0.579,1.59e-05,0.0438,-8.226,0.31,150.91299999999998,0.835,38
20,PERIOD,8,2g5o40whwlpvbsJBk4znQs,Careless,spotify:track:2g5o40whwlpvbsJBk4znQs,0.00541,0.8759999999999999,0.848,0.0,0.395,-6.414,0.20199999999999999,107.977,0.27899999999999997,34
21,PERIOD,9,1FdjGON62xLxgPZW8BGeHS,Period (We Live),spotify:track:1FdjGON62xLxgPZW8BGeHS,0.0376,0.89,0.715,0.0,0.0948,-6.303999999999999,0.0947,109.006,0.581,45
22,PERIOD,10,5XOJRxuIcyDgV6QHVRUwPK,Runnin,spotify:track:5XOJRxuIcyDgV6QHVRUwPK,0.00863,0.821,0.522,0.0,0.0745,-6.933,0.34,159.974,0.289,33
23,PERIOD,11,0m5UGpHzwWRlgky0dmhogh,Rap Shit,spotify:track:0m5UGpHzwWRlgky0dmhogh,0.0296,0.784,0.6409999999999999,0.0,0.0653,-6.176,0.23600000000000002,89.984,0.396,35
24,PERIOD,12,4petEAIC7BrCoTwcDK8wWy,No Time (Broke N**ga),spotify:track:4petEAIC7BrCoTwcDK8wWy,0.00823,0.927,0.49700000000000005,1.39e-06,0.13,-9.017999999999999,0.40399999999999997,100.07,0.207,34
25,PERIOD,13,36B9SXT9Pf8mL3F5RyqSAX,How To Pimp A N**ga,spotify:track:36B9SXT9Pf8mL3F5RyqSAX,0.0015,0.853,0.43200000000000005,2.98e-06,0.327,-9.442,0.35200000000000004,82.492,0.47100000000000003,44
26,PERIOD,14,3pbLmCcMn2B4iXnWANu9Ik,Movie,spotify:track:3pbLmCcMn2B4iXnWANu9Ik,0.00621,0.662,0.664,0.0,0.0767,-6.735,0.342,125.963,0.327,32
27,PERIOD,15,18IdsbtqweC5ys0Gr4vb0Q,F**k On U,spotify:track:18IdsbtqweC5ys0Gr4vb0Q,0.00294,0.625,0.555,0.0,0.106,-8.011000000000001,0.0948,160.009,0.39899999999999997,36
28,PERIOD,16,6yglAnjur5efD4lcNVEKqi,Clear The Air,spotify:track:6yglAnjur5efD4lcNVEKqi,0.402,0.8220000000000001,0.483,3.16e-06,0.12,-8.911,0.1,106.956,0.156,30
